,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Protein Mass (Da) / Cell,,,,,,,,,,,,,,,,,,
Accession,UP_AC,Description,Peptide count,Peptides used for quantitation,Confidence score,Gene,nb of possible Peptides,Molecular weight (Da),LC-MS Experiment,glucose,50 mM NaCl,pH 6,42°C,anaerobic,stationary 1 day,stationary 3 days,chemostat µ=0.12,chemostat µ=0.5,galactose,acetate,glycerol,LB,glucosamine,fumarate,succinate,pyruvate,chemostat µ=0.20,chemostat µ=0.35,glucose,50 mM NaCl,pH 6,42°C,anaerobic,stationary 1 day,stationary 3 days,chemostat µ=0.12,chemostat µ=0.5,galactose,acetate,glycerol,LB,glucosamine,fumarate,succinate,pyruvate,chemostat µ=0.20,chemostat µ=0.35
sp|P26646|YHDH_ECOLI,P26646,Putative quinone oxidoreductase YhdH OS=Escherichia coli (strain K12) GN=yhdH PE=1 SV=1,11,9,689.79,yhdH,17,34683.88067,No fractionation,388.304905,374.1075028,382.3689399,392.1177124,310.1155332,97.29778895,78.41536089,354.2658912,436.7553139,333.6234266,427.7859728,432.5869633,474.7570534,447.0164015,356.5317838,343.4572207,354.2148375,350.229523,423.0295218,13467920.99,12975499.99,13262038.69,13600163.94,10756010.15,3374664.901,2719749.02,12287315.89,15148369.19,11571355.12,14837277.63,15003794.61,16466416.99,15504263.53,12365905.85,11912429.26,12285545.16,12147318.98,14672305.45
sp|P27248|GCST_ECOLI,P27248,Aminomethyltransferase OS=Escherichia coli (strain K12) GN=gcvT PE=1 SV=3,11,9,618.36,gcvT,19,40103.1916,No fractionation,989.6557925,545.2103036,722.0591848,455.6996042,874.3509653,171.06513,110.7125245,374.4952032,628.4282239,309.1426241,462.0898797,545.0925515,1549.847105,704.182221,570.3644361,627.0249853,402.4317897,316.6517171,500.5156585,39688355.87,21864673.27,28956877.83,18275008.54,35064264.29,6860257.684,4439925.584,15018452.89,25201977.47,12397605.89,18531278.98,21859951.03,62153815.39,28239954.53,22873434.26,25145703.12,16138799.17,12698744.48,20072275.35
sp|P27305|GLUQ_ECOLI,P27305,Glutamyl-Q tRNA(Asp) synthetase OS=Escherichia coli (strain K12) GN=gluQ PE=1 SV=6,9,9,415.47,gluQ,19,34827.85594,OGE-fractionation,47.56263205,44.79412589,40.75287849,31.65366626,32.90398942,6.774621499,11.83223564,38.44218324,50.65554007,16.30759766,26.55736046,43.7287175,166.1837352,41.60889305,69.25497151,46.37760327,46.48256072,158.1239157,54.40423312,1656504.497,1560083.364,1419335.381,1102429.328,1145975.403,235945.5416,412091.3983,1338858.82,1764223.852,567958.662,924935.9243,1522977.474,5787823.189,1449148.533,2412002.171,1615232.486,1618887.928,5507116.957,1894782.794
sp|P28904|TREC_ECOLI,P28904,Trehalose-6-phosphate hydrolase OS=Escherichia coli (strain K12) GN=treC PE=3 SV=3,9,9,334.39,treC,27,63779.12148,No fractionation,30.50742514,27.70486346,19.2083623,28.36964304,24.31419372,1.932649218,3.19354121,16.92668894,22.04603882,7.988017501,13.88151005,18.84897571,618.3491639,28.8283544,28.75718408,23.7843023,18.99959203,9.060806067,15.64550912,1945736.774,1766991.852,1225092.473,1809390.91,1550737.915,123262.6692,203681.2528,1079569.35,1406076.988,509468.7386,885350.5158,1202171.112,39437766.44,1838647.118,1834107.937,1516941.906,1211777.288,577890.2508,997856.827
sp|P31134|POTG_ECOLI,P31134,Putrescine transport ATP-binding protein PotG OS=Escherichia coli (strain K12) GN=potG PE=3 SV=2,9,9,451.01,potG,18,41885.69734,OGE-fractionation,71.04097146,58.03657832,63.86776519,63.62674824,33.08745635,23.83335397,27.57360545,13.68394476,53.70649912,21.42419996,31.92198496,70.0761826,15.78897889,52.18829894,73.52044342,43.56423908,29.83844937,11.34887907,41.96363207,2975600.629,2430902.554,2675145.883,2665050.719,1385891.182,998276.6508,1154939.693,573161.5686,2249534.167,897367.5554,1337074.601,2935189.775,661332.3911,2185943.294,3079455.041,1824718.533,1249804.259,475355.7139,1757675.992
sp|P31677|OTSA_ECOLI,P31677,"Alpha,alpha-trehalose-phosphate synthase [UDP-forming] OS=Escherichia coli (strain K12) GN=otsA PE=1 SV=3",11,9,515.1,otsA,26,53559.78131,No fractionation,298.8087486,357.5150876,426.7794228,313.0415179,91.45064589,34.01191161,58.79476854,73.72252935,105.315095,198.1970394,187.9897681,209.9262325,191.2094871,288.2044465,169.3566312,154.931268,132.5961687,78.23299787,102.1262121,16004131.23,19148429.91,22858212.55,16766435.24,4898076.595,1821670.548,3149034.945,3948562.55,5640653.459,10615390.08,10068690.87,11243603.1,10241138.31,15436167.13,9070704.133,8298084.83,7101821.799,4190142.257,5469857.587
sp|P31979|NUOF_ECOLI,P31979,NADH-quinone oxidoreductase subunit F OS=Escherichia coli (strain K12) GN=nuoF PE=1 SV=3,13,9,529.88,nuoF,26,49242.93959,No fractionation,200.055269,209.9727352,150.5542143,155.6341469,56.4373123,23.8261004,24.86167504,30.19829721,123.8996149,48.08804524,68.80973597,206.3457689,673.8964784,159.2877393,194.3148522,148.4700592,78.78438896,34.98963493,46.56304965,9851309.524,10339674.71,7413732.08,7663882.896,2779139.16,1173267.223,1224261.962,1487052.925,6101181.251,2367996.707,3388393.671,10161072.23,33184643.57,7843796.525,9568634.529,7311102.155,3879574.906,1722992.479,2292901.441
sp|P32695|DUSA_ECOLI,P32695,tRNA-dihydrouridine synthase A OS=Escherichia coli (strain K12) GN=dusA PE=3 SV=3,10,9,692.99,dusA,20,36768.40073,No fractionation,401.1332282,354.7444666,334.6916679,343.5836583,340.9661914,70.86764207,80.98602225,211.3289372,331.3433909,187.9864824,144.5468818,257.4393317,790.2284602,306.4680261,282.3331128,260.5088346,198.5227969,228.9389489,209.0840922,14749027.28,13043386.7,12306077.36,12633021.63,12536781.56,2605689.862,2977726.52,7770227.049,12182966.58,6911962.315,5314757.674,9465632.511,29055436.69,11268339.19,10380937.03,9578493.224,7299365.752,8417719.017,7687687.69
sp|P33940|MQO_ECOLI,P33940,Malate:quinone oxidoreductase OS=Escherichia coli (strain K12) GN=mqo PE=1 SV=2,9,9,450.79,mqo ,30,60173.82383,No fractionation,166.9207202,172.1163725,276.7474182,156.3534461,145.2373391,22.70207911,22.85158149,11.04280864,19.97193815,17.80970916,47.49994937,23.18322825,315.8141344,261.2020565,35.62325961,37.01086489,223.4105953,16.63061542,48.62513503,10044258.01,10356900.28,16652950.39,9408384.721,8739486.056,1366070.909,1375067.039,664488.0214,1201787.888,1071678.301,2858253.585,1395023.493,19003744.08,15717526.53,2143587.748,2227085.264,13443469.8,1000727.723,2925960.309
sp|P37671|YIAJ_ECOLI,P37671,HTH-type transcriptional regulator yiaJ OS=Escherichia coli (strain K12) GN=yiaJ PE=1 SV=1,10,9,504.43,yiaJ,18,31028.83427,OGE-fractionation,210.4806547,134.7350439,173.6044701,139.3150172,77.65865697,10.16636835,30.24992761,20.36382224,73.43881486,73.13348083,52.38524465,86.66818979,110.252378,127.7978716,106.2282329,54.27813565,102.6747447,57.4884051,45.54227598,6530969.352,4180671.348,5386744.331,4322782.579,2409657.597,315450.5587,938619.9903,631865.6655,2278720.815,2269246.656,1625453.074,2689212.897,3421002.764,3965418.976,3296138.235,1684187.276,3185877.638,1783798.194,1413123.734
sp|P37691|YIBQ_ECOLI,P37691,Uncharacterized protein yibQ OS=Escherichia coli (strain K12) GN=yibQ PE=4 SV=2,9,9,490.55,yibQ,16,35312.38878,OGE-fractionation,125.6711207,70.72825697,77.60489187,35.89688344,102.3990071,149.4521423,64.01920073,33.57601011,67.30127254,26.93710717,66.12969662,54.84574801,76.42358006,147.8890017,51.34439342,47.98287861,11.26311529,31.64795415,40.06076097,4437747.473,2497583.708,2740414.113,1267604.704,3615953.55,5277512.151,2260670.905,1185649.123,2376568.701,951213.6009,2335197.557,1936734.377,2698699.171,5222313.925,1813093.182,1694390.064,397727.5059,1117564.861,1414641.166
sp|P37760|RMLD_ECOLI,P37760,dTDP-4-dehydrorhamnose reductase OS=Escherichia coli (strain K12) GN=rfbD PE=3 SV=2,10,9,474.53,rfbD,14,32655.66505,No fractionation,784.1987708,630.2384854,693.5686552,670.0058791,490.1817752,76.30767928,58.83279178,190.4926304,499.9796224,274.5270377,520.4026634,470.5798725,2229.299372,620.4202149,752.0891618,661.8016397,387.4205667,234.0316599,256.6693721,25608532.39,20580856.88,22648945.69,21879487.57,16007211.86,2491878.015,1921223.942,6220663.534,16327167.08,8964862.991,16994095.07,15367098.7,72799253.58,20260234.73,24559971.76,21611572.68,12651476.26,7642459.496,8381709.045
sp|P39173|YEAD_ECOLI,P39173,Putative glucose-6-phosphate 1-epimerase OS=Escherichia coli (strain K12) GN=yeaD PE=1 SV=2,9,9,852.56,yeaD,14,32627.64631,No fractionation,2140.088294,1932.630283,1837.16362,1839.934848,1779.396398,246.5351315,372.1783591,718.2547581,1987.768146,889.7040538,1318.004617,1554.25896,2292.543163,1603.365129,1454.013285,1575.815942,1139.759543,997.2417229,1438.379721,69826043.93,63057177.33,59942324.81,60032743.46,58057516.33,8043861.073,12143303.87,23434962.21,64856196.03,29028949.19,43003388.47,50711811.61,74800287.48,52314030.34,47441031.2,51415165.21,37187671.26,32537650.22,46930944.8
sp|P39829|GARD_ECOLI,P39829,D-galactarate dehydratase OS=Escherichia coli (strain K12) GN=garD PE=1 SV=2,9,9,330.68,garD,28,56348.07443,OGE-fractionation,24.95753763,5.640091077,5.026669254,22.11636173,3.418829792,3.657512088,2.249551823,5.117073759,12.40882532,9.7776856,9.650211579,18.7931606,38.49642495,9.649062417,44.80809819,30.65614656,4.841242069,3.755441725,13.72889443,1406309.188,317808.2718,283243.1333,1246214.397,192644.4756,206093.7634,126757.9135,288337.253,699213.4129,550953.7559,543770.8403,1058958.412,2169199.418,543706.0872,2524850.052,1727414.828,272794.6684,211611.9098,773596.7651
sp|P45955|YBGF_ECOLI,P45955,Uncharacterized protein YbgF OS=Escherichia coli (strain K12) GN=ybgF PE=1 SV=2,10,9,814.66,ybgF,14,28196.1354,No fractionation,1608.163688,1332.289057,1660.821808,1470.122524,1624.835045,459.571298,596.466703,1448.186096,1336.497535,958.4425189,997.0644632,1049.385983,1589.265937,1621.578345,1070.484589,1163.566599,1221.775218,1290.880626,1012.246773,45344001.08,37565402.64,46828756.58,41451773.73,45814068.94,12958134.54,16818055.92,40833251.25,37684065.45,27024375.04,28113364.61,29588629.27,44811157.56,45722242.58,30183528.42,32808081.38,34449339.47,36397844.92,28541447.08
sp|P62623|ISPH_ECOLI,P62623,4-hydroxy-3-methylbut-2-enyl diphosphate reductase OS=Escherichia coli (strain K12) GN=ispH PE=1 SV=1,10,9,518.42,ispH,19,34734.93615,No fractionation,554.4151162,477.7703011,485.197867,543.3404379,400.35965,49.78671373,52.88534611,205.1395238,414.8935635,211.9701257,275.7344671,399.5275128,1002.88008,474.6425491,415.7350024,366.6710834,273.0028643,249.6776407,334.0843994,19257573.66,16595320.9,16853316.93,18872895.42,13906466.88,1729338.323,1836969.121,7125508.26,14411301.44,7362768.782,9577619.109,13877562.65,34834975.53,16486678.64,14440528.76,12736296.67,9482737.062,8672536.907,11604400.28
sp|P68739|NFI_ECOLI,P68739,Endonuclease V OS=Escherichia coli (strain K12) GN=nfi PE=1 SV=1,10,9,440.14,nfi ,14,24638.84252,OGE-fractionation,219.5210444,169.6309828,180.5957827,116.8129797,148.1270704,64.32638607,51.73483905,105.849715,66.11538797,115.7936404,88.45538295,182.1912132,287.9047113,134.3577463,155.8704968,75.29105988,262.363259,34.17754019,1035.618303,5408744.443,4179511.071,4449671.049,2878136.611,3649679.56,1584927.696,1274686.552,2608014.459,1629006.632,2853021.27,2179438.25,4488980.611,7093638.843,3310419.353,3840468.623,1855084.568,6464327.021,842095.0304,25516436.28
sp|P69874|POTA_ECOLI,P69874,Spermidine/putrescine import ATP-binding protein PotA OS=Escherichia coli (strain K12) GN=potA PE=1 SV=1,9,9,469.39,potA,22,42982.98678,No fractionation,327.3239258,320.9166031,262.6798619,276.5542483,252.4638417,83.25793235,87.62719234,82.17308125,170.7114442,90.26518992,154.6310515,162.3084451,601.2759191,224.7792893,176.0731385,211.4593195,122.5384321,125.4622699,183.7763469,14069359.98,13793954.11,11290765.03,11887127.6,10851649.97,3578674.606,3766478.45,3532044.465,7337687.747,3879867.465,6646504.444,6976501.752,25844634.88,9661685.22,7568149.384,9089153.133,5267067.809,5392743.089,7899256.289
sp|P69924|RIR2_ECOLI,P69924,Ribonucleoside-diphosphate reductase 1 subunit beta OS=Escherichia coli (strain K12) GN=nrdB PE=1 SV=2,9,9,370.1,nrdB,22,43471.70663,No fractionation,331.683436,266.2939386,247.8434729,261.6441592,184.6482762,80.31931378,78.57275629,84.41237192,154.2745331,103.7412515,88.86426069,201.1893419,657.4013659,204.2909405,197.89595,171.277291,99.40400706,79.83301948,82.27960075,14418845.03,11576251.98,10774178.74,11374118.13,8026975.695,3491617.645,3415691.81,3669549.868,6706577.245,4509809.249,3863081.071,8746044.048,28578359.32,8880875.832,8602874.683,7445716.147,4321261.833,3470477.602,3576834.666
sp|P76008|LDCA_ECOLI,P76008,Murein tetrapeptide carboxypeptidase OS=Escherichia coli (strain K12) GN=ldcA PE=1 SV=1,9,9,462.23,ldcA,14,33528.2494,OGE-fractionation,92.52443996,96.54154057,56.11603192,76.38128737,40.32420766,22.72399199,14.89584806,12.38964297,18.30373077,12.31765307,17.71494169,81.61301913,98.27810699,47.95594612,51.40294943,28.02601225,22.82262807,4.583177618,26.4545093,3102182.499,3236868.85,1881472.314,2560930.853,1352000.091,761895.6708,499431.7088,415403.0395,613692.0502,412989.344,593950.983,2736341.66,3295092.882,1607878.922,1723450.909,939663.1284,765202.766,153665.9222,886973.3857
sp|P76104|YDCP_ECOLI,P76104,Uncharacterized protease ydcP OS=Escherichia coli (strain K12) GN=ydcP PE=1 SV=2,10,9,332.91,ydcP,40,72638.30677,OGE-fractionation,27.22838017,12.0390457,6.635714133,27.29269235,5.91110675,2.252781474,4.377859348,4.165624393,2.880526466,1.030747534,1.404675133,8.988690042,61.41244855,5.935767194,10.71532014,11.90801353,3.763056929,8.070389158,2.618111406,1977823.431,874495.8947,482007.0388,1982494.96,429372.7854,163638.2318,318000.2903,302583.9026,209236.5651,74871.75559,102033.2232,652923.2247,4460896.277,431164.0784,778342.7115,864977.9395,273342.0836,586219.4034,190175.1795
sp|P77213|CAAL_ECOLI,P77213,Carboxylate-amine ligase YbdK OS=Escherichia coli (strain K12) GN=ybdK PE=1 SV=1,9,9,403.3,ybdK,19,41643.68948,OGE-fractionation,141.077975,76.04849306,70.0073395,94.70927462,32.45290282,29.62516769,28.65088167,33.93558679,55.81832509,56.9564847,46.21355541,119.8071211,45.27889541,63.35026937,78.75606712,40.08686259,33.11898586,60.84773366,167.5577544,5875007.384,3166939.831,2915363.907,3944043.623,1351458.608,1233701.284,1193128.419,1413203.039,2324480.997,2371878.163,1924502.951,4989210.548,1885580.26,2638138.946,3279693.204,1669364.858,1379196.763,2533924.126,6977723.096
sp|P77499|SUFC_ECOLI,P77499,Probable ATP-dependent transporter SufC OS=Escherichia coli (strain K12) GN=sufC PE=1 SV=1,10,9,535.49,sufC,16,27547.12225,No fractionation,697.0202665,664.9728528,638.7782806,644.948372,455.5909545,417.5877038,443.948619,271.0842098,330.072444,405.3777522,459.1658753,449.3990836,486.1575189,573.5534856,422.4184027,392.461427,276.5067839,235.9320697,240.8819975,19200902.49,18318088.47,17596503.39,17766471.65,12550219.72,11503339.53,12229506.88,7467589.868,9092545.965,11166990.5,12648698.5,12379651.5,13392240.6,15799747.99,11636411.38,10811182.91,7616966.18,6499249.566,6635605.832
sp|P77541|PRPB_ECOLI,P77541,Methylisocitrate lyase OS=Escherichia coli (strain K12) GN=prpB PE=1 SV=3,10,9,940.66,prpB,16,32096.4598,No fractionation,156.7800982,100.7774361,118.2114465,143.7482477,144.0264246,87.70747,80.56359499,1053.175783,151.8972148,1279.162995,242.1808357,99.29765802,284.2034903,518.3803016,588.8773068,111.3212918,274.4167761,1472.579543,1586.041737,5032086.12,3234598.926,3794168.941,4613809.855,4622738.347,2815099.285,2585806.188,33803214.19,4875362.848,41056603.64,7773147.457,3187103.289,9121925.902,16638172.51,18900876.81,3573019.367,8807807.023,47264590.1,50906324.86
sp|P77649|YDIU_ECOLI,P77649,UPF0061 protein ydiU OS=Escherichia coli (strain K12) GN=ydiU PE=1 SV=1,9,9,555.53,ydiU,30,54329.86646,OGE-fractionation,69.82228386,88.84371826,65.82808789,84.90024867,19.73447555,14.62259015,13.6149646,51.04032416,33.77291496,30.17800965,30.02976121,67.40985754,87.98656203,52.3154689,58.67550713,49.0784481,33.58276844,22.27978187,80.50658741,3793435.358,4826867.349,3576431.225,4612619.173,1072171.421,794443.3701,739699.2086,2773013.996,1834877.959,1639567.234,1631512.916,3662368.558,4780298.165,2842292.439,3187832.467,2666425.532,1824547.325,1210457.574,4373912.143
sp|P78067|YNJE_ECOLI,P78067,Thiosulfate sulfurtransferase YnjE OS=Escherichia coli (strain K12) GN=ynjE PE=1 SV=2,9,9,561.1,ynjE,24,48180.13471,No fractionation,128.2891396,118.3695529,112.5747584,111.8579993,415.5490563,65.76274382,61.16769667,478.2552965,243.4179618,113.8963204,252.7063955,144.4359274,83.63155213,170.3039031,189.0737798,179.6026118,127.8178314,322.8042419,192.0211365,6180988.029,5703061.003,5423867.023,5389333.477,20021209.51,3168457.856,2947067.865,23042404.61,11727910.19,5487540.062,12175428.18,6958942.438,4029379.447,8205264.991,9109600.179,8653278.032,6158280.336,15552751.86,9251604.226
sp|Q47679|YAFV_ECOLI,Q47679,UPF0012 hydrolase yafV OS=Escherichia coli (strain K12) GN=yafV PE=3 SV=1,10,9,438.84,yafV,16,28888.47765,OGE-fractionation,218.7554388,101.0735263,180.2837433,60.95548725,49.75270158,22.33139844,37.68239203,52.18837883,56.41967125,47.09373914,114.0196617,86.88426892,80.48608586,83.45308369,69.61506482,60.96649909,57.10578851,36.59767959,80.62520523,6319511.605,2919860.305,5208122.89,1760911.231,1437279.808,645120.1046,1088586.94,1507642.815,1629878.412,1360466.431,3293854.448,2509954.261,2325120.492,2410832.543,2011073.244,1761229.346,1649699.295,1057251.249,2329139.439
sp|P00561|AK1H_ECOLI,P00561,Bifunctional aspartokinase/homoserine dehydrogenase 1 OS=Escherichia coli (strain K12) GN=thrA PE=1 SV=2,11,8,541.15,thrA,47,89045.79557,No fractionation,203.2813309,147.8563112,186.8974422,175.1156531,104.8597629,25.89879171,22.518344,21.81606736,34.25959225,15.7499546,18.9490616,94.32662864,90.50643226,141.6101109,104.9949466,47.64726543,27.9126761,19.86219776,15.24737919,18101347.83,13165982.86,16642431.43,15593312.64,9337321.008,2306178.512,2005163.857,1942629.074,3050672.648,1402467.238,1687334.265,8399389.691,8059217.265,12609784.99,9349358.552,4242788.657,2485506.45,1768645.201,1357715.011
sp|P00894|ILVH_ECOLI,P00894,Acetolactate synthase isozyme 3 small subunit OS=Escherichia coli (strain K12) GN=ilvH PE=1 SV=3,9,8,654.71,ilvH,13,17947.67665,No fractionation,1526.360281,1211.509351,1361.31226,1396.105411,1748.42741,1066.207039,1030.931374,856.3823931,1277.99005,785.7846954,977.2559282,999.1580669,201.2969573,1300.083946,939.035373,887.4997534,915.5969645,1091.289328,1029.771462,27394620.77,21743778.09,24432392.26,25056848.49,31380209.81,19135939.18,18502822.95,15370074.28,22936952.18,14103009.63,17539473.4,17932565.91,3612812.701,23333486.29,16853503.24,15928558.6,16432838.26,19586107.99,18482005.22
sp|P00895|TRPE_ECOLI,P00895,Anthranilate synthase component 1 OS=Escherichia coli (strain K12) GN=trpE PE=1 SV=2,8,8,280.62,trpE,27,57440.09143,No fractionation,213.5940078,175.2904746,91.71291999,173.8911069,59.8751453,38.11672644,20.68246069,31.38135745,47.42327572,27.27482093,29.88062187,81.75020384,46.35466743,89.08113034,57.86044876,50.06498978,34.94873642,34.79765181,33.84395131,12268859.34,10068700.89,5267998.51,9988321.077,3439233.821,2189428.252,1188002.433,1802548.041,2723997.293,1566668.208,1716345.652,4695739.183,2662616.335,5116828.271,3323509.467,2875737.591,2007458.615,1998780.302,1943999.657
sp|P00935|METB_ECOLI,P00935,Cystathionine gamma-synthase OS=Escherichia coli (strain K12) GN=metB PE=1 SV=1,8,8,546.05,metB,19,41506.48419,No fractionation,500.707129,246.9961798,208.8848126,394.3533989,111.3072045,28.41731033,39.51775645,75.91101604,202.3567373,183.74456,230.9253512,183.4809727,126.5351609,648.5289635,150.2477041,251.6768715,267.8741057,85.27677448,103.7800981,20782592.53,10251943.03,8670074.17,16368223.12,4619970.723,1179502.642,1640243.133,3150799.387,8399116.719,7626590.675,9584899.438,7615650.094,5252029.657,26918157.17,6236253.953,10446222.09,11118512.33,3539539.092,4307547.002
sp|P02929|TONB_ECOLI,P02929,Protein tonB OS=Escherichia coli (strain K12) GN=tonB PE=1 SV=2,8,8,359.8,tonB,10,26059.99904,OGE-fractionation,37.16450363,35.64218195,7.413998979,122.2733305,87.76840828,53.26929088,30.61775664,18.17397646,16.91114846,8.984786693,21.85784973,6.115233213,25.81159269,35.16802789,14.83789627,21.59553529,31.23418014,181.9161345,58.2233158,968506.929,928835.2273,193208.8063,3186442.875,2287244.635,1388197.669,797898.7085,473613.8091,440704.5127,234143.5326,569615.543,159362.9717,672650.0807,916478.7732,386675.5626,562779.6289,813962.7043,4740734.291,1517299.554
sp|P05719|T1SK_ECOLI,P05719,Type-1 restriction enzyme EcoKI specificity protein OS=Escherichia coli (strain K12) GN=hsdS PE=1 SV=1,8,8,296.13,hsdS,29,51345.41367,OGE-fractionation,8.994682439,28.60445263,14.95613307,6.691739809,8.284389493,2.150073635,0.936600264,5.015374756,18.71403229,1.811656795,4.710728355,15.11249938,99.48670085,12.61763041,7.974768141,12.60821002,10.90334871,1.960993589,16.89179542,461835.6907,1468707.453,767928.8392,343590.1487,425365.4055,110396.4202,48090.12802,257516.4916,960879.7293,93020.26756,241874.2961,775957.5324,5108185.81,647857.4532,409467.7691,647373.759,559836.9497,100688.027,867316.2234
sp|P06987|HIS7_ECOLI,P06987,Histidine biosynthesis bifunctional protein hisB OS=Escherichia coli (strain K12) GN=hisB PE=1 SV=1,9,8,379.98,hisB,19,40234.25797,No fractionation,548.5684626,345.9898467,470.603773,558.2739611,596.95755,398.6135762,425.0373103,211.8312463,412.7453914,265.2062751,246.5773808,346.183689,465.3965771,469.8434005,351.9117654,344.9602645,296.0342208,201.0183851,263.2783581,22071245.04,13920644.75,18934393.6,22461738.57,24018144.06,16037921.45,17101060.79,8522873.009,16606504.56,10670377.69,9920857.948,13928443.85,18724885.94,18903800.58,14158908.75,13879220.27,11910717.21,8087825.562,10592809.38
sp|P07623|META_ECOLI,P07623,Homoserine O-succinyltransferase OS=Escherichia coli (strain K12) GN=metA PE=1 SV=4,8,8,476.24,metA,16,35686.96076,No fractionation,882.3312503,672.797204,748.3547212,878.2438181,354.0375623,56.49014913,46.0847789,182.1286758,336.5161625,251.7618112,280.1222648,510.5717403,697.6939255,747.7891327,510.4450701,484.1205116,299.7625232,258.7344979,344.6534947,31487720.71,24010087.42,26706505.57,31341852.67,12634524.59,2015961.735,1644625.696,6499618.905,12009239.09,8984613.877,9996712.273,18220753.66,24898575.74,26686321.44,18216233.19,17276789.7,10697613.4,9233447.875,12299635.74
sp|P07639|AROB_ECOLI,P07639,3-dehydroquinate synthase OS=Escherichia coli (strain K12) GN=aroB PE=3 SV=1,9,8,626.31,aroB,20,38838.30699,No fractionation,515.9357612,442.3700343,467.0477952,508.7328248,480.5386827,50.43576761,48.67386841,293.9685433,426.1673883,282.7156706,316.1103792,386.27596,533.3235051,477.7541899,432.3967402,384.5516564,348.3964883,338.544385,321.696881,20038071.48,17180903.19,18139345.65,19758321.62,18663308.88,1958839.826,1890410.644,11417240.53,16551619.86,10980198.01,12277191.95,15002304.32,20713382.02,18555163.89,16793557.34,14935335.29,13531129.77,13148490.75,12494162.22
sp|P07913|TDH_ECOLI,P07913,L-threonine 3-dehydrogenase OS=Escherichia coli (strain K12) GN=tdh PE=1 SV=1,8,8,375.42,tdh ,13,37196.83116,No fractionation,285.6890729,224.7209264,295.4639146,284.9060947,146.9594207,96.05393886,146.0495817,114.7660294,170.1585508,181.2833507,190.2628324,265.353911,2414.712886,306.395447,281.1644626,201.3053441,211.7465594,122.974166,141.4367862,10626728.21,8358906.356,10990321.34,10597603.9,5466424.761,3572902.146,5432581.633,4268932.619,6329358.885,6743166.186,7077174.453,9870324.625,89819667.51,11396939.71,10458427.04,7487920.895,7876301.019,4574249.288,5261000.256
sp|P08660|AK3_ECOLI,P08660,Lysine-sensitive aspartokinase 3 OS=Escherichia coli (strain K12) GN=lysC PE=1 SV=2,9,8,615.14,lysC,23,48483.43931,No fractionation,324.8004285,218.7700071,174.2965907,243.6166392,85.3585091,19.30450845,19.18682004,35.98139598,28.18263983,43.23802469,25.07268414,127.6202388,36.65511597,154.1967516,58.84761826,19.71980963,16.30267112,36.47071599,42.40817766,15747441.86,10606722.36,8450498.177,11811372.54,4138474.096,935948.9639,930243.0251,1744501.828,1366391.308,2096328.146,1215609.96,6187468.103,1777166.09,7475988.846,2853134.928,956084.1933,790409.5658,1768225.745,2056094.308
sp|P09029|PURK_ECOLI,P09029,N5-carboxyaminoimidazole ribonucleotide synthase OS=Escherichia coli (strain K12) GN=purK PE=1 SV=2,9,8,353.25,purK,17,39418.26516,No fractionation,342.0116658,319.0499539,360.0588875,323.0708598,263.760111,24.74149496,25.63740264,58.77701676,215.0085418,92.77211049,120.7177668,178.8319645,126.9390828,358.3182214,228.2678449,220.4039854,238.8132607,93.30755087,139.8365848,13481506.53,12576395.68,14192896.7,12734892.82,10396965.99,975266.8089,1010581.935,2316888.032,8475263.711,3656915.651,4758484.94,7049245.797,5003718.424,14124282.66,8997922.436,8687942.74,9413604.436,3678021.782,5512115.578
sp|P09158|SPEE_ECOLI,P09158,Spermidine synthase OS=Escherichia coli (strain K12) GN=speE PE=1 SV=2,9,8,573.04,speE,12,32282.72207,No fractionation,1182.888907,1193.484869,935.2297841,969.5154909,639.4213528,78.55410553,124.5481344,236.1956327,707.6792967,381.6342525,351.8299436,692.1114919,1562.342083,921.3788183,814.8185569,754.3428992,496.3190126,311.4561351,397.4382245,38186873.81,38528940.32,30191763.19,31298599.13,20642261.82,2535940.356,4020752.809,7625037.966,22845814.05,12320192.5,11358028.29,22343242.94,50436655.24,29744616.31,26304561.01,24352242.16,16022528.74,10054651.85,12830387.74
sp|P0A6I0|KCY_ECOLI,P0A6I0,Cytidylate kinase OS=Escherichia coli (strain K12) GN=cmk PE=1 SV=1,8,8,564.69,cmk ,12,24713.0717,No fractionation,1211.963633,1009.828093,1193.218691,1106.257198,1056.834884,320.3493549,427.623011,719.7573474,931.95795,789.2644934,886.4227755,915.9560216,2406.705782,1077.891879,865.6049659,873.4550959,658.1174118,639.2686905,830.7148662,29951344.17,24955954.08,29488099.06,27339013.44,26117636.26,7916816.578,10567878.13,17787414.93,23031543.64,19505150.02,21906229.61,22636086.83,59477092.55,26638019.28,21391757.59,21585758.41,16264102.78,15798292.98,20529516.05
